epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
88,617.996,0.55296,0.47941,1.01591,0.98086,0.99456,0.99477,0.93702,0.33069,0.25936,0.86182,8.66875e-05,8.66875e-05,8.66875e-05
89,625.153,0.53083,0.47298,1.0021,0.9808,0.99518,0.99477,0.93513,0.3295,0.2579,0.86155,8.05e-05,8.05e-05,8.05e-05
90,632.365,0.54999,0.48546,1.02535,0.98665,0.995,0.99484,0.93526,0.32705,0.25482,0.85972,7.43125e-05,7.43125e-05,7.43125e-05
91,647.056,0.3875,0.36853,0.91847,0.98638,0.99496,0.99491,0.93771,0.3253,0.25831,0.85758,6.8125e-05,6.8125e-05,6.8125e-05
92,654.257,0.41667,0.38151,0.98624,0.98639,0.99476,0.99491,0.93913,0.32675,0.26035,0.85826,6.19375e-05,6.19375e-05,6.19375e-05
93,661.223,0.39918,0.35911,0.94845,0.98591,0.9947,0.99491,0.93508,0.32857,0.26367,0.85892,5.575e-05,5.575e-05,5.575e-05
94,668.073,0.38137,0.34508,0.93607,0.98085,0.99134,0.99496,0.93485,0.3286,0.26399,0.85902,4.95625e-05,4.95625e-05,4.95625e-05
95,675.016,0.37833,0.32986,0.90891,0.98713,0.98039,0.9935,0.93368,0.32658,0.26328,0.85823,4.3375e-05,4.3375e-05,4.3375e-05
96,681.888,0.38439,0.33016,0.93833,0.98871,0.98085,0.99354,0.93819,0.32092,0.25844,0.85545,3.71875e-05,3.71875e-05,3.71875e-05
97,688.947,0.39677,0.35238,0.97347,0.98883,0.99156,0.995,0.94152,0.31586,0.25527,0.85256,3.1e-05,3.1e-05,3.1e-05
98,696.273,0.3906,0.33164,0.95514,0.9901,0.993,0.995,0.9428,0.31258,0.25309,0.85046,2.48125e-05,2.48125e-05,2.48125e-05
99,703.402,0.39878,0.339,0.95205,0.99035,0.99328,0.995,0.94545,0.31096,0.25162,0.84899,1.8625e-05,1.8625e-05,1.8625e-05
100,710.51,0.35844,0.29413,0.92316,0.98941,0.99404,0.995,0.94641,0.30973,0.25156,0.84836,1.24375e-05,1.24375e-05,1.24375e-05
